N,P,K,ph,rainfall,temperature,label,Fertilizer,humidity
0.5,0.5,0.724137931,6.5,0.5,30,Sugarcane,DAP,
0.5384615385,0.5,0.724137931,6.5,0.5,30,Sugarcane,DAP,
0.5769230769,0.5,0.724137931,6.5,0.5,30,Sugarcane,DAP,
0.6153846154,0.5,0.724137931,6.5,0.5,30,Sugarcane,DAP,
0.4230769231,0.5625,0.7586206897,7,0.5714285714,35,Sugarcane,DAP,
0.4615384615,0.5625,0.7586206897,7,0.5714285714,35,Sugarcane,DAP,
0.5,0.5625,0.7586206897,7,0.5714285714,35,Sugarcane,DAP,
0.5384615385,0.5625,0.7586206897,7,0.5714285714,35,Sugarcane,DAP,
0.5769230769,0.5625,0.7586206897,7,0.5714285714,35,Sugarcane,DAP,
0.6153846154,0.5625,0.7586206897,7,0.5714285714,35,Sugarcane,DAP,
0.4230769231,0.625,0.6551724138,7.5,0.6428571429,20,Sugarcane,MOP,
0.4615384615,0.625,0.6551724138,7.5,0.6428571429,20,Sugarcane,MOP,
0.5,0.625,0.6551724138,7.5,0.6428571429,20,Sugarcane,MOP,
0.5384615385,0.625,0.6551724138,7.5,0.6428571429,20,Sugarcane,MOP,
0.5769230769,0.625,0.6551724138,7.5,0.6428571429,20,Sugarcane,MOP,
0.6153846154,0.625,0.6551724138,7.5,0.6428571429,20,Sugarcane,MOP,
0.4230769231,0.5,0.6896551724,6.5,0.7142857143,25,Sugarcane,MOP,
0.4615384615,0.5,0.6896551724,6.5,0.7142857143,25,Sugarcane,MOP,
0.5,0.5,0.6896551724,6.5,0.7142857143,25,Sugarcane,MOP,
0.5384615385,0.5,0.6896551724,6.5,0.7142857143,25,Sugarcane,MOP,
0.5769230769,0.5,0.6896551724,6.5,0.7142857143,25,Sugarcane,MOP,
0.6153846154,0.5,0.6896551724,6.5,0.7142857143,25,Sugarcane,MOP,
0.4230769231,0.5625,0.724137931,7,0.7857142857,30,Sugarcane,MOP,
0.4615384615,0.5625,0.724137931,7,0.7857142857,30,Sugarcane,MOP,
0.5,0.5625,0.724137931,7,0.7857142857,30,Sugarcane,MOP,
0.5384615385,0.5625,0.724137931,7,0.7857142857,30,Sugarcane,MOP,
0.5769230769,0.5625,0.724137931,7,0.7857142857,30,Sugarcane,MOP,
0.6153846154,0.5625,0.724137931,7,0.7857142857,30,Sugarcane,MOP,
0.4230769231,0.625,0.7586206897,7.5,0.8571428571,35,Sugarcane,MOP,
0.4615384615,0.625,0.7586206897,7.5,0.8571428571,35,Sugarcane,MOP,
0.5,0.625,0.7586206897,7.5,0.8571428571,35,Sugarcane,MOP,
0.5384615385,0.625,0.7586206897,7.5,0.8571428571,35,Sugarcane,MOP,
0.5769230769,0.625,0.7586206897,7.5,0.8571428571,35,Sugarcane,MOP,
0.6153846154,0.625,0.7586206897,7.5,0.8571428571,35,Sugarcane,MOP,
0,0.1875,0.1379310345,6.5,0.2142857143,25,Jowar,10:26:26 NPK,
0.03846153846,0.1875,0.1379310345,6.5,0.2142857143,25,Jowar,10:26:26 NPK,
0.07692307692,0.1875,0.1379310345,6.5,0.2142857143,25,Jowar,10:26:26 NPK,
0.1153846154,0.1875,0.1379310345,6.5,0.2142857143,25,Jowar,10:26:26 NPK,
0.1538461538,0.1875,0.1379310345,6.5,0.2142857143,25,Jowar,10:26:26 NPK,
0,0.25,0.1724137931,7,0.2857142857,30,Jowar,10:26:26 NPK,
0.03846153846,0.25,0.1724137931,7,0.2857142857,30,Jowar,10:26:26 NPK,
0.07692307692,0.25,0.1724137931,7,0.2857142857,30,Jowar,10:26:26 NPK,
0.1153846154,0.25,0.1724137931,7,0.2857142857,30,Jowar,10:26:26 NPK,
0.1538461538,0.25,0.1724137931,7,0.2857142857,30,Jowar,10:26:26 NPK,
0,0.3125,0.2068965517,7.5,0.3571428571,25,Jowar,10:26:26 NPK,
0.03846153846,0.3125,0.2068965517,7.5,0.3571428571,25,Jowar,10:26:26 NPK,
0.07692307692,0.3125,0.2068965517,7.5,0.3571428571,25,Jowar,10:26:26 NPK,
0.1153846154,0.3125,0.2068965517,7.5,0.3571428571,25,Jowar,10:26:26 NPK,
0.1538461538,0.3125,0.2068965517,7.5,0.3571428571,25,Jowar,10:26:26 NPK,
0,0.1875,0.2413793103,6.5,0.2142857143,30,Jowar,10:26:26 NPK,
0.03846153846,0.1875,0.2413793103,6.5,0.2142857143,30,Jowar,10:26:26 NPK,
0.07692307692,0.1875,0.2413793103,6.5,0.2142857143,30,Jowar,10:26:26 NPK,
0.1153846154,0.1875,0.2413793103,6.5,0.2142857143,30,Jowar,10:26:26 NPK,
0.1538461538,0.1875,0.2413793103,6.5,0.2142857143,30,Jowar,10:26:26 NPK,
0,0.25,0.1379310345,7,0.2857142857,25,Jowar,Urea,
0.03846153846,0.25,0.1379310345,7,0.2857142857,25,Jowar,Urea,
0.07692307692,0.25,0.1379310345,7,0.2857142857,25,Jowar,Urea,
0.1153846154,0.25,0.1379310345,7,0.2857142857,25,Jowar,Urea,
0.1538461538,0.25,0.1379310345,7,0.2857142857,25,Jowar,Urea,
0,0.3125,0.1724137931,7.5,0.3571428571,30,Jowar,Urea,
0.03846153846,0.3125,0.1724137931,7.5,0.3571428571,30,Jowar,Urea,
0.07692307692,0.3125,0.1724137931,7.5,0.3571428571,30,Jowar,Urea,
0.1153846154,0.3125,0.1724137931,7.5,0.3571428571,30,Jowar,Urea,
0.1538461538,0.3125,0.1724137931,7.5,0.3571428571,30,Jowar,Urea,
0,0.1875,0.2068965517,6.5,0.2142857143,25,Jowar,Urea,
0.03846153846,0.1875,0.2068965517,6.5,0.2142857143,25,Jowar,Urea,
0.07692307692,0.1875,0.2068965517,6.5,0.2142857143,25,Jowar,Urea,
0.1153846154,0.1875,0.2068965517,6.5,0.2142857143,25,Jowar,Urea,
0.1538461538,0.1875,0.2068965517,6.5,0.2142857143,25,Jowar,Urea,
0,0.25,0.2413793103,7,0.2857142857,30,Jowar,Urea,
0.03846153846,0.25,0.2413793103,7,0.2857142857,30,Jowar,Urea,
0.07692307692,0.25,0.2413793103,7,0.2857142857,30,Jowar,Urea,
0.1153846154,0.25,0.2413793103,7,0.2857142857,30,Jowar,Urea,
0.1538461538,0.25,0.2413793103,7,0.2857142857,30,Jowar,Urea,
0,0.3125,0.1379310345,7.5,0.3571428571,25,Jowar,SSP,
0.03846153846,0.3125,0.1379310345,7.5,0.3571428571,25,Jowar,SSP,
0.07692307692,0.3125,0.1379310345,7.5,0.3571428571,25,Jowar,SSP,
0.1153846154,0.3125,0.1379310345,7.5,0.3571428571,25,Jowar,SSP,
0.1538461538,0.3125,0.1379310345,7.5,0.3571428571,25,Jowar,SSP,
0,0.1875,0.1724137931,6.5,0.2142857143,30,Jowar,SSP,
0.03846153846,0.1875,0.1724137931,6.5,0.2142857143,30,Jowar,SSP,
0.07692307692,0.1875,0.1724137931,6.5,0.2142857143,30,Jowar,SSP,
0.1153846154,0.1875,0.1724137931,6.5,0.2142857143,30,Jowar,SSP,
0.1538461538,0.1875,0.1724137931,6.5,0.2142857143,30,Jowar,SSP,
0,0.25,0.2068965517,7,0.2857142857,25,Jowar,SSP,
0.03846153846,0.25,0.2068965517,7,0.2857142857,25,Jowar,SSP,
0.07692307692,0.25,0.2068965517,7,0.2857142857,25,Jowar,SSP,
0.1153846154,0.25,0.2068965517,7,0.2857142857,25,Jowar,SSP,
0.1538461538,0.25,0.2068965517,7,0.2857142857,25,Jowar,SSP,
0,0.3125,0.2413793103,7.5,0.3571428571,30,Jowar,SSP,
0.03846153846,0.3125,0.2413793103,7.5,0.3571428571,30,Jowar,SSP,
0.07692307692,0.3125,0.2413793103,7.5,0.3571428571,30,Jowar,SSP,
0.1153846154,0.3125,0.2413793103,7.5,0.3571428571,30,Jowar,SSP,
0.1538461538,0.3125,0.2413793103,7.5,0.3571428571,30,Jowar,SSP,
0.1538461538,0.125,0.1034482759,6,0.2142857143,25,Jowar,10:26:26 NPK,
0.1923076923,0.125,0.1034482759,6,0.2142857143,25,Jowar,10:26:26 NPK,
0.2307692308,0.125,0.1034482759,6,0.2142857143,25,Jowar,10:26:26 NPK,
0.1538461538,0.1875,0.1379310345,6.5,0.2857142857,30,Jowar,10:26:26 NPK,
0.1923076923,0.1875,0.1379310345,6.5,0.2857142857,30,Jowar,10:26:26 NPK,
0.2307692308,0.1875,0.1379310345,6.5,0.2857142857,30,Jowar,10:26:26 NPK,
0.1538461538,0.125,0.1379310345,7,0.3571428571,25,Jowar,10:26:26 NPK,
0.1923076923,0.125,0.1379310345,7,0.3571428571,25,Jowar,10:26:26 NPK,
0.2307692308,0.125,0.1379310345,7,0.3571428571,25,Jowar,10:26:26 NPK,
0.1538461538,0.1875,0.1034482759,7.5,0.2142857143,30,Jowar,10:26:26 NPK,
0.1923076923,0.1875,0.1034482759,7.5,0.2142857143,30,Jowar,10:26:26 NPK,
0.2307692308,0.1875,0.1034482759,7.5,0.2142857143,30,Jowar,10:26:26 NPK,
0.6153846154,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.6538461538,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.6923076923,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.7307692308,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.7692307692,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.8076923077,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.8461538462,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.8846153846,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.9230769231,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.9615384615,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
1,0.375,0.3103448276,6,0.3571428571,25,Cotton,DAP,
0.6153846154,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.6538461538,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.6923076923,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.7307692308,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.7692307692,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.8076923077,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.8461538462,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.8846153846,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.9230769231,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.9615384615,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
1,0.4375,0.3448275862,6.5,0.4285714286,30,Cotton,DAP,
0.6153846154,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.6538461538,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.6923076923,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.7307692308,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.7692307692,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.8076923077,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.8461538462,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.8846153846,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.9230769231,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.9615384615,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
1,0.5,0.3793103448,7,0.5,35,Cotton,DAP,
0.6153846154,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.6538461538,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.6923076923,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.7307692308,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.7692307692,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.8076923077,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.8461538462,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.8846153846,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.9230769231,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.9615384615,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
1,0.5625,0.4137931034,7.5,0.3571428571,25,Cotton,DAP,
0.6153846154,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.6538461538,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.6923076923,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.7307692308,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.7692307692,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.8076923077,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.8461538462,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.8846153846,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.9230769231,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.9615384615,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
1,0.625,0.4482758621,6,0.4285714286,30,Cotton,DAP,
0.6153846154,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.6538461538,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.6923076923,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.7307692308,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.7692307692,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.8076923077,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.8461538462,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.8846153846,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.9230769231,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.9615384615,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
1,0.375,0.4827586207,6.5,0.5,35,Cotton,DAP,
0.6153846154,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.6538461538,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.6923076923,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.7307692308,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.7692307692,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.8076923077,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.8461538462,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.8846153846,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.9230769231,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.9615384615,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
1,0.4375,0.3103448276,6,0.3571428571,25,Cotton,Magnesium Sulphate,
0.6153846154,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.6538461538,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.6923076923,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.7307692308,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.7692307692,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.8076923077,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.8461538462,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.8846153846,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.9230769231,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.9615384615,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
1,0.5,0.3448275862,6.5,0.4285714286,30,Cotton,Magnesium Sulphate,
0.6153846154,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.6538461538,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.6923076923,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.7307692308,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.7692307692,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.8076923077,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.8461538462,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.8846153846,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.9230769231,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.9615384615,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
1,0.5625,0.3793103448,7,0.5,35,Cotton,Magnesium Sulphate,
0.6153846154,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.6538461538,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.6923076923,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.7307692308,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.7692307692,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.8076923077,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.8461538462,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.8846153846,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.9230769231,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.9615384615,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
1,0.625,0.4137931034,7.5,0.3571428571,25,Cotton,Magnesium Sulphate,
0.6153846154,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.6538461538,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.6923076923,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.7307692308,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.7692307692,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.8076923077,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.8461538462,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.8846153846,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.9230769231,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.9615384615,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
1,0.375,0.4482758621,6,0.4285714286,30,Cotton,Magnesium Sulphate,
0.6153846154,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.6538461538,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.6923076923,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.7307692308,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.7692307692,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.8076923077,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.8461538462,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.8846153846,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.9230769231,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.9615384615,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
1,0.4375,0.4827586207,6.5,0.5,35,Cotton,Magnesium Sulphate,
0.6153846154,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.6538461538,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.6923076923,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.7307692308,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.7692307692,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.8076923077,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.8461538462,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.8846153846,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.9230769231,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.9615384615,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
1,0.5,0.3103448276,7,0.3571428571,25,Cotton,13:32:26 NPK,
0.6153846154,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.6538461538,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.6923076923,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.7307692308,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.7692307692,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.8076923077,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.8461538462,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.8846153846,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.9230769231,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.9615384615,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
1,0.5625,0.3448275862,7.5,0.4285714286,30,Cotton,13:32:26 NPK,
0.6153846154,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.6538461538,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.6923076923,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.7307692308,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.7692307692,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.8076923077,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.8461538462,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.8846153846,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.9230769231,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.9615384615,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
1,0.625,0.3793103448,6,0.5,35,Cotton,13:32:26 NPK,
0.6153846154,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.6538461538,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.6923076923,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.7307692308,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.7692307692,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.8076923077,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.8461538462,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.8846153846,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.9230769231,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.9615384615,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
1,0.375,0.4137931034,6.5,0.3571428571,25,Cotton,13:32:26 NPK,
0.6153846154,0.4375,0.4482758621,7,0.4285714286,30,Cotton,13:32:26 NPK,
0.6538461538,0.4375,0.4482758621,7,0.4285714286,30,Cotton,13:32:26 NPK,
0.6923076923,0.4375,0.4482758621,7,0.4285714286,30,Cotton,13:32:26 NPK,
0.7307692308,0.4375,0.4482758621,7,0.4285714286,30,Cotton,13:32:26 NPK,
0.7692307692,0.4375,0.4482758621,7,0.4285714286,30,Cotton,13:32:26 NPK,
0.8076923077,0.4375,0.4482758621,7,0.4285714286,30,Cotton,13:32:26 NPK,
